CVE_ID,Description,Cause1,Cause2,Location,Version,Attacker,Operation,Consequence
CVE-2011-2518,"The tomoyo_mount_acl function in security/tomoyo/mount.c in the Linux kernel before 2.6.39.2 calls the kern_path function with arguments taken directly from a mount system call, which allows local users to cause a denial of service (OOPS) or possibly have unspecified other impact via a NULL value for the device name.",calls the kern_path function with arguments taken directly from a mount system call,,The tomoyo_mount_acl function in security/tomoyo/mount.c,the Linux kernel before 2.6.39.2,local users,a NULL value for the device,a denial of service (OOPS) or possibly have unspecified other impact
CVE-2014-10375,handle_messages in eXtl_tls.c in eXosip before 5.0.0 mishandles a negative value in a content-length header.,mishandles a negative value in a content-length header,,handle_messages in eXtl_tls.c,eXosip before 5.0.0,,,
CVE-2013-0275,Multiple cross-site scripting (XSS) vulnerabilities in Ganglia Web before 3.5.6 allow remote attackers to inject arbitrary web script or HTML via unspecified vectors.,Multiple cross-site scripting (XSS) vulnerabilities,,Ganglia Web before 3.5.6,,remote attackers,,inject arbitrary web script or HTML
CVE-2020-12443,"BigBlueButton before 2.2.6 allows remote attackers to read arbitrary files because the presfilename (lowercase) value can be a .pdf filename while the presFilename (mixed case) value has a ../ sequence. This can be leveraged for privilege escalation via a directory traversal to bigbluebutton.properties. NOTE: this issue exists because of an ineffective mitigation to CVE-2020-12112 in which there was an attempted fix within an NGINX configuration file, without considering that the relevant part of NGINX is case-insensitive.",,,BigBlueButton before 2.2.6,,remote attackers,a directory traversal to bigbluebutton.properties,read arbitrary files because the presfilename (lowercase) value
CVE-2018-11591,Espruino before 1.98 allows attackers to cause a denial of service (application crash) with a user crafted input file via a NULL pointer dereference during syntax parsing. This was addressed by adding validation for a debug trace print statement in jsvar.c.,a NULL pointer dereference,,,Espruino before 1.98,,,a denial of service (application crash) with a user crafted input file
CVE-2011-4364,"Buffer overflow in the Sierra VMD decoder in libavcodec in FFmpeg 0.5.x before 0.5.7, 0.6.x before 0.6.4, 0.7.x before 0.7.9 and 0.8.x before 0.8.8; and in Libav 0.5.x before 0.5.6, 0.6.x before 0.6.4, and 0.7.x before 0.7.3 allows remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via a crafted VMD file, related to corrupted streams.",Buffer overflow,,the Sierra VMD decoder,"libavcodec in FFmpeg 0.5.x before 0.5.7, 0.6.x before 0.6.4, 0.7.x before 0.7.9 and 0.8.x before 0.8.8; and in Libav 0.5.x before 0.5.6, 0.6.x before 0.6.4, and 0.7.x before 0.7.3",remote attackers,"a crafted VMD file, related to corrupted streams",a denial of service (crash) and possibly execute arbitrary
CVE-2013-2636,"net/bridge/br_mdb.c in the Linux kernel before 3.8.4 does not initialize certain structures, which allows local users to obtain sensitive information from kernel memory via a crafted application.",does not initialize certain structures,,net/bridge/br_mdb.c,the Linux kernel before 3.8.4,local users,a crafted application,obtain sensitive information from kernel memory
CVE-2018-17182,"An issue was discovered in the Linux kernel through 4.18.8. The vmacache_flush_all function in mm/vmacache.c mishandles sequence number overflows. An attacker can trigger a use-after-free (and possibly gain privileges) via certain thread creation, map, unmap, invalidation, and dereference operations.",mishandles sequence number overflows,,The vmacache_flush_all function in mm/vmacache.c,the Linux kernel through 4.18.8,,"certain thread creation, map, unmap, invalidation, and dereference operations",a use-after-free (and possibly gain privileges)
CVE-2019-12900,BZ2_decompress in decompress.c in bzip2 through 1.0.6 has an out-of-bounds write when there are many selectors.,an out-of-bounds write,,BZ2_decompress in decompress.c,bzip2 through 1.0.6,,,
CVE-2017-6874,Race condition in kernel/ucount.c in the Linux kernel through 4.10.2 allows local users to cause a denial of service (use-after-free and system crash) or possibly have unspecified other impact via crafted system calls that leverage certain decrement behavior that causes incorrect interaction between put_ucounts and get_ucounts.,Race condition,,kernel/ucount.c,the Linux kernel through 4.10.2,local users,crafted system calls that leverage certain decrement behavior that causes incorrect interaction between put_ucounts and get_ucounts,a denial of service (use-after-free and system crash) or possibly have unspecified other impact
CVE-2013-0234,Cross-site scripting (XSS) vulnerability in the Twitter widget in Elgg before 1.7.17 and 1.8.x before 1.8.13 allows remote attackers to inject arbitrary web script or HTML via the params[twitter_username] parameter to action/widgets/save.,Cross-site scripting (XSS) vulnerability,,the Twitter widget,Elgg before 1.7.17 and 1.8.x before 1.8.13,remote attackers,the params[twitter_username] parameter to action/widgets/save,inject arbitrary web script or HTML
CVE-2015-2923,The Neighbor Discovery (ND) protocol implementation in the IPv6 stack in FreeBSD through 10.1 allows remote attackers to reconfigure a hop-limit setting via a small hop_limit value in a Router Advertisement (RA) message.,,,The Neighbor Discovery (ND) protocol implementation in the IPv6 stack,FreeBSD through 10.1,remote attackers,a small hop_limit value in a Router Advertisement (RA) message,reconfigure a hop-limit setting
CVE-2017-14608,"In LibRaw through 0.18.4, an out of bounds read flaw related to kodak_65000_load_raw has been reported in dcraw/dcraw.c and internal/dcraw_common.cpp. An attacker could possibly exploit this flaw to disclose potentially sensitive memory or cause an application crash.",an out of bounds read flaw,,dcraw/dcraw.c and internal/dcraw_common.cpp,LibRaw through 0.18.4,An attacker,,disclose potentially sensitive memory or cause an application crash
CVE-2017-5537,"The password reset form in Weblate before 2.10.1 provides different error messages depending on whether the email address is associated with an account, which allows remote attackers to enumerate user accounts via a series of requests.",provides different error messages depending on whether the email address is associated with an account,,,Weblate before 2.10.1,remote attackers,a series of requests,enumerate user accounts
CVE-2017-12192,"The keyctl_read_key function in security/keys/keyctl.c in the Key Management subcomponent in the Linux kernel before 4.13.5 does not properly consider that a key may be possessed but negatively instantiated, which allows local users to cause a denial of service (OOPS and system crash) via a crafted KEYCTL_READ operation.",does not properly consider that a key may be possessed but negatively instantiated,,The keyctl_read_key function in security/keys/keyctl.c,the Key Management subcomponent in the Linux kernel before 4.13.5,local users,a crafted KEYCTL_READ operation,a denial of service (OOPS and system crash)
CVE-2017-9228,"An issue was discovered in Oniguruma 6.2.0, as used in Oniguruma-mod in Ruby through 2.4.1 and mbstring in PHP through 7.1.5. A heap out-of-bounds write occurs in bitset_set_range() during regular expression compilation due to an uninitialized variable from an incorrect state transition. An incorrect state transition in parse_char_class() could create an execution path that leaves a critical local variable uninitialized until it's used as an index, resulting in an out-of-bounds write memory corruption.",A heap out-of-bounds write,an uninitialized variable from an incorrect state transition,bitset_set_range(),"Oniguruma 6.2.0, as used in Oniguruma-mod in Ruby through 2.4.1 and mbstring in PHP through 7.1.5",,,an out-of-bounds write memory corruption
CVE-2019-16680,"An issue was discovered in GNOME file-roller before 3.29.91. It allows a single ./../ path traversal via a filename contained in a TAR archive, possibly overwriting a file during extraction.",a single ./../ path traversal,,,GNOME file-roller before 3.29.91,,"a filename contained in a TAR archive, possibly overwriting a file during extraction",
CVE-2016-2324,"Integer overflow in Git before 2.7.4 allows remote attackers to execute arbitrary code via a (1) long filename or (2) many nested trees, which triggers a heap-based buffer overflow.",Integer overflow,,Git before 2.7.4,,remote attackers,"a (1) long filename or (2) many nested trees, which triggers a heap-based buffer overflow",execute arbitrary code
CVE-2017-5847,The gst_asf_demux_process_ext_content_desc function in gst/asfdemux/gstasfdemux.c in gst-plugins-ugly in GStreamer allows remote attackers to cause a denial of service (out-of-bounds heap read) via vectors involving extended content descriptors.,,,The gst_asf_demux_process_ext_content_desc function in gst/asfdemux/gstasfdemux.c,,remote attackers,vectors involving extended content descriptors,a denial of service (out-of-bounds heap read)
CVE-2016-0775,Buffer overflow in the ImagingFliDecode function in libImaging/FliDecode.c in Pillow before 3.1.1 allows remote attackers to cause a denial of service (crash) via a crafted FLI file.,Buffer overflow,,the ImagingFliDecode function in libImaging/FliDecode.c,Pillow before 3.1.1,remote attackers,a crafted FLI file,a denial of service (crash)
CVE-2018-20749,LibVNC before 0.9.12 contains a heap out-of-bounds write vulnerability in libvncserver/rfbserver.c. The fix for CVE-2018-15127 was incomplete.,a heap out-of-bounds write vulnerability,,libvncserver/rfbserver.c,LibVNC before 0.9.12,,,
CVE-2018-20724,A cross-site scripting (XSS) vulnerability exists in pollers.php in Cacti before 1.2.0 due to lack of escaping of unintended characters in the Website Hostname for Data Collectors.,A cross-site scripting (XSS) vulnerability,lack of escaping of unintended characters in the Website Hostname for Data Collectors,pollers.php,Cacti before 1.2.0,,,
CVE-2018-11598,Espruino before 1.99 allows attackers to cause a denial of service (application crash) and a potential Information Disclosure with user crafted input files via a Buffer Overflow or Out-of-bounds Read during syntax parsing of certain for loops in jsparse.c.,a Buffer Overflow or Out-of-bounds Read,,,Espruino before 1.99,,,a denial of service (application crash) and a potential Information Disclosure with user crafted input files
CVE-2014-5336,"Monkey HTTP Server before 1.5.3, when the File Descriptor Table (FDT) is enabled and custom error messages are set, allows remote attackers to cause a denial of service (file descriptor consumption) via an HTTP request that triggers an error message.",,,,Monkey HTTP Server before 1.5.3,remote attackers,an HTTP request that triggers an error message,a denial of service (file descriptor consumption)
